Title                                                                                                                                                                                                                                                                   | Journal                                         | Year | Dataset source
Transcriptome profiles in peripheral white blood cells at the time of artificial insemination discriminate beef heifers with different fertility potential.                                                                                                             | BMC Genomics                                    | 2018 | All           
TISSUES 2.0: an integrative web resource on mammalian tissue expression.                                                                                                                                                                                                | Database (Oxford)                               | 2018 | FAANG only    
Illumina Library Preparation for Sequencing the GC-Rich Fraction of Heterogeneous Genomic DNA.                                                                                                                                                                          | Genome Biol Evol                                | 2018 | All           
Mammalian Adaptation of an Avian Influenza A Virus Involves Stepwise Changes in NS1.                                                                                                                                                                                    | J Virol                                         | 2018 | All           
Effects of a wide range of dietary forage-to-concentrate ratios on nutrient utilization and hepatic transcriptional profiles in limit-fed Holstein heifers.                                                                                                             | BMC Genomics                                    | 2018 | All           
Defining age- and lactocrine-sensitive elements of the neonatal porcine uterine microRNA-mRNA interactome.                                                                                                                                                              | Biol Reprod                                     | 2017 | All           
Variation in the Early Host-Pathogen Interaction of Bovine Macrophages with Divergent Mycobacterium bovis Strains in the United Kingdom.                                                                                                                                | Infect Immun                                    | 2018 | All           
Uterine influences on conceptus development in fertility-classified animals.                                                                                                                                                                                            | Proc Natl Acad Sci U S A                        | 2018 | All           
Convergent Evolution of Slick Coat in Cattle through Truncation Mutations in the Prolactin Receptor.                                                                                                                                                                    | Front Genet                                     | 2018 | All           
Sheep genome functional annotation reveals proximal regulatory elements contributed to the evolution of modern breeds.                                                                                                                                                  | Nat Commun                                      | 2018 | All           
XIST Derepression in Active X Chromosome Hinders Pig Somatic Cell Nuclear Transfer.                                                                                                                                                                                     | Stem Cell Reports                               | 2018 | All           
Identification and characterization of microRNAs in the intestinal tissues of sheep (Ovis aries).                                                                                                                                                                       | PLoS One                                        | 2018 | All           
MicroRNA Expression in Bovine Cumulus Cells in Relation to Oocyte Quality.                                                                                                                                                                                              | Noncoding RNA                                   | 2017 | All           
Efficient derivation of stable primed pluripotent embryonic stem cells from bovine blastocysts.                                                                                                                                                                         | Proc Natl Acad Sci U S A                        | 2018 | All           
The Genome 10K Project: a way forward.                                                                                                                                                                                                                                  | Annu Rev Anim Biosci                            | 2015 | All           
A missense mutation in MYH1 is associated with susceptibility to immune-mediated myositis in Quarter Horses.                                                                                                                                                            | Skelet Muscle                                   | 2018 | All           
Single-cell RNA sequencing reveals developmental heterogeneity of blastomeres during major genome activation in bovine embryos.                                                                                                                                         | Sci Rep                                         | 2018 | All           
gga-miR-155 Enhances Type I Interferon Expression and Suppresses Infectious Burse Disease Virus Replication via Targeting SOCS1 and TANK.                                                                                                                               | Front Cell Infect Microbiol                     | 2018 | All           
Lipoprotein lipase reaches the capillary lumen in chickens despite an apparent absence of GPIHBP1.                                                                                                                                                                      | JCI Insight                                     | 2017 | All           
Multiple Regulatory Modules Are Required for Scale-to-Feather Conversion.                                                                                                                                                                                               | Mol Biol Evol                                   | 2018 | All           
Association of Circulating Transfer RNA fragments with antibody response to Mycoplasma bovis in beef cattle.                                                                                                                                                            | BMC Vet Res                                     | 2018 | All           
Long non-coding RNAs and mRNAs profiling during spleen development in pig.                                                                                                                                                                                              | PLoS One                                        | 2018 | All           
Effect of dietary restriction and subsequent re-alimentation on the transcriptional profile of bovine jejunal epithelium.                                                                                                                                               | PLoS One                                        | 2018 | All           
Genomic selection signatures in sheep from the Western Pyrenees.                                                                                                                                                                                                        | Genet Sel Evol                                  | 2018 | All           
Integration of lncRNA and mRNA Transcriptome Analyses Reveals Genes and Pathways Potentially Involved in Calf Intestinal Growth and Development during the Early Weeks of Life.                                                                                         | Genes (Basel)                                   | 2018 | All           
STAT6, PBX2, and PBRM1 Emerge as Predicted Regulators of 452 Differentially Expressed Genes Associated With Puberty in Brahman Heifers.                                                                                                                                 | Front Genet                                     | 2018 | FAANG only    
RNA-seq analysis of lncRNA-controlled developmental gene expression during puberty in goat & rat.                                                                                                                                                                       | BMC Genet                                       | 2018 | All           
Tracking cellular and molecular changes in a species-specific manner during experimental tumor progression <i>in vivo</i>.                                                                                                                                              | Oncotarget                                      | 2018 | All           
Integrated transcriptomes throughout swine oestrous cycle reveal dynamic changes in reproductive tissues interacting networks.                                                                                                                                          | Sci Rep                                         | 2018 | All           
Comparative 'omics analyses differentiate Mycobacterium tuberculosis and Mycobacterium bovis and reveal distinct macrophage responses to infection with the human and bovine tubercle bacilli.                                                                          | Microb Genom                                    | 2018 | All           
Gene co-expression networks in liver and muscle transcriptome reveal sex-specific gene expression in lambs fed with a mix of essential oils.                                                                                                                            | BMC Genomics                                    | 2018 | All           
Contraction of basal filopodia controls periodic feather branching via Notch and FGF signaling.                                                                                                                                                                         | Nat Commun                                      | 2018 | All           
miR-126-5p by direct targeting of JNK-interacting protein-2 (JIP-2) plays a key role in Theileria-infected macrophage virulence.                                                                                                                                        | PLoS Pathog                                     | 2018 | All           
The first whole transcriptomic exploration of pre-oviposited early chicken embryos using single and bulked embryonic RNA-sequencing.                                                                                                                                    | Gigascience                                     | 2018 | All           
Comprehensive analysis of blood cells and plasma identifies tissue-specific miRNAs as potential novel circulating biomarkers in cattle.                                                                                                                                 | BMC Genomics                                    | 2018 | All           
Comparative transcriptome analysis of hypothalamus-regulated feed intake induced by exogenous visfatin in chicks.                                                                                                                                                       | BMC Genomics                                    | 2018 | All           
Downregulation of MicroRNA eca-mir-128 in Seminal Exosomes and Enhanced Expression of CXCL16 in the Stallion Reproductive Tract Are Associated with Long-Term Persistence of Equine Arteritis Virus.                                                                    | J Virol                                         | 2018 | All           
Sheep skeletal muscle transcriptome analysis reveals muscle growth regulatory lncRNAs.                                                                                                                                                                                  | PeerJ                                           | 2018 | All           
The antibody loci of the domestic goat (Capra hircus).                                                                                                                                                                                                                  | Immunogenetics                                  | 2018 | All           
A comprehensive transcriptome analysis of skeletal muscles in two Polish pig breeds differing in fat and meat quality traits.                                                                                                                                           | Genet Mol Biol                                  | 2018 | All           
Estimation of the Genetic Substitution Rate of Hanwoo and Holstein Cattle Using Whole Genome Sequencing Data.                                                                                                                                                           | Genomics Inform                                 | 2018 | All           
Alternative miRNAs? Human sequences misidentified as plant miRNAs in plant studies and in human plasma.                                                                                                                                                                 | F1000Res                                        | 2018 | All           
Whole-genome sequences of 89 Chinese sheep suggest role of RXFP2 in the development of unique horn phenotype as response to semi-feralization.                                                                                                                          | Gigascience                                     | 2018 | All           
RNA-Seq reveals differentially expressed genes affecting polyunsaturated fatty acids percentage in the Huangshan Black chicken population.                                                                                                                              | PLoS One                                        | 2018 | All           
Single-molecule sequencing and chromatin conformation capture enable de novo reference assembly of the domestic goat genome.                                                                                                                                            | Nat Genet                                       | 2017 | All           
Analysis of hepatic transcriptome demonstrates altered lipid metabolism following Lactobacillus johnsonii BS15 prevention in chickens with subclinical necrotic enteritis.                                                                                              | Lipids Health Dis                               | 2018 | All           
An epistatic effect of KRT25 on SP6 is involved in curly coat in horses.                                                                                                                                                                                                | Sci Rep                                         | 2018 | All           
Characterization of Chicken Tumor Necrosis Factor-α, a Long Missed Cytokine in Birds.                                                                                                                                                                                   | Front Immunol                                   | 2018 | All           
Oxytocin and arginine vasopressin systems in the domestication process.                                                                                                                                                                                                 | Genet Mol Biol                                  | 2018 | All           
Effect of early calf-hood nutrition on the transcriptomic profile of subcutaneous adipose tissue in Holstein-Friesian bulls.                                                                                                                                            | BMC Genomics                                    | 2018 | All           
Comparative omics and feeding manipulations in chicken indicate a shift of the endocrine role of visceral fat towards reproduction.                                                                                                                                     | BMC Genomics                                    | 2018 | All           
A Key Gene, PLIN1, Can Affect Porcine Intramuscular Fat Content Based on Transcriptome Analysis.                                                                                                                                                                        | Genes (Basel)                                   | 2018 | All           
Alteration of Hepatic Gene Expression along with the Inherited Phenotype of Acquired Fatty Liver in Chicken.                                                                                                                                                            | Genes (Basel)                                   | 2018 | All           
A pathway for mitotic chromosome formation.                                                                                                                                                                                                                             | Science                                         | 2018 | All           
Cross-species inference of long non-coding RNAs greatly expands the ruminant transcriptome.                                                                                                                                                                             | Genet Sel Evol                                  | 2018 | FAANG only    
Circulating miRNAs as Putative Biomarkers of Exercise Adaptation in Endurance Horses.                                                                                                                                                                                   | Front Physiol                                   | 2018 | All           
Comparative whole genome DNA methylation profiling of cattle sperm and somatic tissues reveals striking hypomethylated patterns in sperm.                                                                                                                               | Gigascience                                     | 2018 | All           
Transcriptional analysis of liver from chickens with fast (meat bird), moderate (F1 layer x meat bird cross) and low (layer bird) growth potential.                                                                                                                     | BMC Genomics                                    | 2018 | All           
Transcriptional profiling of swine mammary gland during the transition from colostrogenesis to lactogenesis using RNA sequencing.                                                                                                                                       | BMC Genomics                                    | 2018 | All           
Transcriptome analyses reveal reduced hepatic lipid synthesis and accumulation in more feed efficient beef cattle.                                                                                                                                                      | Sci Rep                                         | 2018 | All           
Whole-transcriptome analysis of atrophic ovaries in broody chickens reveals regulatory pathways associated with proliferation and apoptosis.                                                                                                                            | Sci Rep                                         | 2018 | All           
Additional mitochondrial DNA influences the interactions between the nuclear and mitochondrial genomes in a bovine embryo model of nuclear transfer.                                                                                                                    | Sci Rep                                         | 2018 | All           
Comparison of the Chinese bamboo partridge and red Junglefowl genome sequences highlights the importance of demography in genome evolution.                                                                                                                             | BMC Genomics                                    | 2018 | All           
Transcriptome analysis of adipose tissues from two fat-tailed sheep breeds reveals key genes involved in fat deposition.                                                                                                                                                | BMC Genomics                                    | 2018 | All           
Functional signaling and gene regulatory networks between the oocyte and the surrounding cumulus cells.                                                                                                                                                                 | BMC Genomics                                    | 2018 | All           
Genome-wide analysis of differentially expressed profiles of mRNAs, lncRNAs and circRNAs during Cryptosporidium baileyi infection.                                                                                                                                      | BMC Genomics                                    | 2018 | All           
Dissecting closely linked association signals in combination with the mammalian phenotype database can identify candidate genes in dairy cattle.                                                                                                                        | BMC Genet                                       | 2018 | All           
Transcriptome Analysis Reveals Dynamic Gene Expression Profiles in Porcine Alveolar Macrophages in Response to the Chinese Highly Pathogenic Porcine Reproductive and Respiratory Syndrome Virus.                                                                       | Biomed Res Int                                  | 2018 | All           
Circular RNA <i>circSVIL</i> Promotes Myoblast Proliferation and Differentiation by Sponging miR-203 in Chicken.                                                                                                                                                        | Front Genet                                     | 2018 | All           
Embryonic transcriptome and proteome analyses on hepatic lipid metabolism in chickens divergently selected for abdominal fat content.                                                                                                                                   | BMC Genomics                                    | 2018 | All           
Long-term health and germline transmission in transgenic cattle following transposon-mediated gene transfer.                                                                                                                                                            | BMC Genomics                                    | 2018 | All           
Transcriptome Reveals Long Non-coding RNAs and mRNAs Involved in Primary Wool Follicle Induction in Carpet Sheep Fetal Skin.                                                                                                                                            | Front Physiol                                   | 2018 | All           
Putative bovine topological association domains and CTCF binding motifs can reduce the search space for causative regulatory variants of complex traits.                                                                                                                | BMC Genomics                                    | 2018 | All           
Characterization of microRNA and mRNA expression profiles in skin tissue between early-feathering and late-feathering chickens.                                                                                                                                         | BMC Genomics                                    | 2018 | All           
A multi-scale analysis of bull sperm methylome revealed both species peculiarities and conserved tissue-specific features.                                                                                                                                              | BMC Genomics                                    | 2018 | All           
Distribution of ncRNAs expression across hypothalamic-pituitary-gonadal axis in Capra hircus.                                                                                                                                                                           | BMC Genomics                                    | 2018 | All           
Examining the Genetic Background of Porcine Muscle Growth and Development Based on Transcriptome and miRNAome Data.                                                                                                                                                     | Int J Mol Sci                                   | 2018 | All           
Single Nucleotide Polymorphisms in the HIRA Gene Affect Litter Size in Small Tail Han Sheep.                                                                                                                                                                            | Animals (Basel)                                 | 2018 | All           
Identification and annotation of breed-specific single nucleotide polymorphisms in Bos taurus genomes.                                                                                                                                                                  | PLoS One                                        | 2018 | All           
Transcriptional Profiling of Host Cell Responses to Virulent <i>Haemophilus parasuis</i>: New Insights into Pathogenesis.                                                                                                                                               | Int J Mol Sci                                   | 2018 | All           
Stage-dependent piRNAs in chicken implicated roles in modulating male germ cell development.                                                                                                                                                                            | BMC Genomics                                    | 2018 | All           
RNA-Seq Meta-analysis identifies genes in skeletal muscle associated with gain and intake across a multi-season study of crossbred beef steers.                                                                                                                         | BMC Genomics                                    | 2018 | All           
Birth, evolution, and transmission of satellite-free mammalian centromeric domains.                                                                                                                                                                                     | Genome Res                                      | 2018 | All           
Genomic structural differences between cattle and River Buffalo identified through comparative genomic and transcriptomic analysis.                                                                                                                                     | Data Brief                                      | 2018 | All           
Key Genes and Pathways Associated With Inner Ear Malformation in SOX10  <sup><i>p.R109W</i></sup> Mutation Pigs.                                                                                                                                                        | Front Mol Neurosci                              | 2018 | All           
Transcriptome data of peripheral white blood cells from beef heifers collected at the time of artificial insemination.                                                                                                                                                  | Data Brief                                      | 2018 | All           
Genetically Induced Tumors in the Oncopig Model Invoke an Antitumor Immune Response Dominated by Cytotoxic CD8β<sup>+</sup> T Cells and Differentiated γδ T Cells Alongside a Regulatory Response Mediated by FOXP3<sup>+</sup> T Cells and Immunoregulatory Molecules. | Front Immunol                                   | 2018 | All           
Cell type-specific analysis of transcriptome changes in the porcine endometrium on Day 12 of pregnancy.                                                                                                                                                                 | BMC Genomics                                    | 2018 | All           
A Novel Loss-of-Function Variant in Transmembrane Protein 263 (TMEM263) of Autosomal Dwarfism in Chicken.                                                                                                                                                               | Front Genet                                     | 2018 | All           
Whole-genome resequencing reveals world-wide ancestry and adaptive introgression events of domesticated cattle in East Asia.                                                                                                                                            | Nat Commun                                      | 2018 | All           
Environmentally enriched pigs have transcriptional profiles consistent with neuroprotective effects and reduced microglial activity.                                                                                                                                    | Behav Brain Res                                 | 2018 | All           
Evidence of evolutionary history and selective sweeps in the genome of Meishan pig reveals its genetic and phenotypic characterization.                                                                                                                                 | Gigascience                                     | 2018 | All           
Dynamic Cellular Integration Drives Functional Assembly of the Heart's Pacemaker Complex.                                                                                                                                                                               | Cell Rep                                        | 2018 | All           
MicroRNA-guided prioritization of genome-wide association signals reveals the importance of microRNA-target gene networks for complex traits in cattle.                                                                                                                 | Sci Rep                                         | 2018 | All           
Genome-wide discovery of lincRNAs with spatiotemporal expression patterns in the skin of goat during the cashmere growth cycle.                                                                                                                                         | BMC Genomics                                    | 2018 | All           
Identification and characterization of long noncoding RNAs and mRNAs expression profiles related to postnatal liver maturation of breeder roosters using Ribo-zero RNA sequencing.                                                                                      | BMC Genomics                                    | 2018 | All           
LHX2 Mediates the FGF-to-SHH Regulatory Loop during Limb Development.                                                                                                                                                                                                   | J Dev Biol                                      | 2018 | All           
Development of in vitro enteroids derived from bovine small intestinal crypts.                                                                                                                                                                                          | Vet Res                                         | 2018 | All           
miR-133-mediated regulation of the Hedgehog pathway orchestrates embryo myogenesis.                                                                                                                                                                                     | Development                                     | 2018 | All           
Genome variants associated with RNA splicing variations in bovine are extensively shared between tissues.                                                                                                                                                               | BMC Genomics                                    | 2018 | All           
Gene expression analysis of porcine whole blood cells infected with foot-and-mouth disease virus using high-throughput sequencing technology.                                                                                                                           | PLoS One                                        | 2018 | All           
Association of Transfer RNA Fragments in White Blood Cells With Antibody Response to Bovine Leukemia Virus in Holstein Cattle.                                                                                                                                          | Front Genet                                     | 2018 | All           
Comparative analyses of longissimus muscle miRNAomes reveal microRNAs associated with differential regulation of muscle fiber development between Tongcheng and Yorkshire pigs.                                                                                         | PLoS One                                        | 2018 | All           
Expression patterns and genetic variation of the ovine skeletal muscle transcriptome of sheep from five Spanish meat breeds.                                                                                                                                            | Sci Rep                                         | 2018 | All           
In silico approaches to identify the functional and structural effects of non-synonymous SNPs in selective sweeps of the Berkshire pig genome.                                                                                                                          | Asian-Australas J Anim Sci                      | 2018 | All           
Examination of the xanthosine response on gene expression of mammary epithelial cells using RNA-seq technology.                                                                                                                                                         | J Anim Sci Technol                              | 2018 | All           
Comparison of transcriptomic landscapes of different lamb muscles using RNA-Seq.                                                                                                                                                                                        | PLoS One                                        | 2018 | All           
Horse Y chromosome assembly displays unique evolutionary features and putative stallion fertility genes.                                                                                                                                                                | Nat Commun                                      | 2018 | All           
Whole genome and transcriptome maps of the entirely black native Korean chicken breed Yeonsan Ogye.                                                                                                                                                                     | Gigascience                                     | 2018 | All           
Genome Wide Identification of Novel Long Non-coding RNAs and Their Potential Associations With Milk Proteins in Chinese Holstein Cows.                                                                                                                                  | Front Genet                                     | 2018 | All           
Combination of novel and public RNA-seq datasets to generate an mRNA expression atlas for the domestic chicken.                                                                                                                                                         | BMC Genomics                                    | 2018 | All           
Novel roles for scleraxis in regulating adult tenocyte function.                                                                                                                                                                                                        | BMC Cell Biol                                   | 2018 | All           
Progressive ataxia of Charolais cattle highlights a role of KIF1C in sustainable myelination.                                                                                                                                                                           | PLoS Genet                                      | 2018 | All           
Transcriptome sequencing to detect the potential role of long non-coding RNAs in bovine mammary gland during the dry and lactation period.                                                                                                                              | BMC Genomics                                    | 2018 | All           
eQTL discovery and their association with severe equine asthma in European Warmblood horses.                                                                                                                                                                            | BMC Genomics                                    | 2018 | All           
Small RNA-seq analysis of single porcine blastocysts revealed that maternal estradiol-17beta exposure does not affect miRNA isoform (isomiR) expression.                                                                                                                | BMC Genomics                                    | 2018 | All           
RNA Sequencing (RNA-Seq) Reveals Extremely Low Levels of Reticulocyte-Derived Globin Gene Transcripts in Peripheral Blood From Horses (<i>Equus caballus</i>) and Cattle (<i>Bos taurus</i>).                                                                           | Front Genet                                     | 2018 | All           
Transcriptome Analyses Reveal Adult Metabolic Syndrome With Intrauterine Growth Restriction in Pig Models.                                                                                                                                                              | Front Genet                                     | 2018 | All           
Deciphering the oviductal extracellular vesicles content across the estrous cycle: implications for the gametes-oviduct interactions and the environment of the potential embryo.                                                                                       | BMC Genomics                                    | 2018 | All           
Silent Witness: Dual-Species Transcriptomics Reveals Epithelial Immunological Quiescence to Helminth Larval Encounter and Fostered Larval Development.                                                                                                                  | Front Immunol                                   | 2018 | All           
A survey of transcriptome complexity in Sus scrofa using single-molecule long-read sequencing.                                                                                                                                                                          | DNA Res                                         | 2018 | All           
The inconsistent regulation of HOXC13 on different keratins and the regulation mechanism on HOXC13 in cashmere goat (Capra hircus).                                                                                                                                     | BMC Genomics                                    | 2018 | All           
Across-Experiment Transcriptomics of Sheep Rumen Identifies Expression of Lipid/Oxo-Acid Metabolism and Muscle Cell Junction Genes Associated With Variation in Methane-Related Phenotypes.                                                                             | Front Genet                                     | 2018 | All           
Lariat intronic RNAs in the cytoplasm of vertebrate cells.                                                                                                                                                                                                              | Proc Natl Acad Sci U S A                        | 2018 | All           
Characterization of Spleen Transcriptome and Immunity Against Avian Colibacillosis After Immunization With Recombinant Attenuated <i>Salmonella</i> Vaccine Strains.                                                                                                    | Front Vet Sci                                   | 2018 | All           
Genome wide transcriptome analysis provides bases on colonic mucosal immune system development affected by colostrum feeding strategies in neonatal calves.                                                                                                             | BMC Genomics                                    | 2018 | All           
Non-Coding Transcriptome Maps across Twenty Tissues of the Korean Black Chicken, Yeonsan Ogye.                                                                                                                                                                          | Int J Mol Sci                                   | 2018 | All           
Transcriptome analysis of immune genes in peripheral blood mononuclear cells of young foals and adult horses.                                                                                                                                                           | PLoS One                                        | 2018 | All           
Genome wide association study identifies novel potential candidate genes for bovine milk cholesterol content.                                                                                                                                                           | Sci Rep                                         | 2018 | All           
Human exonization through differential nucleosome occupancy.                                                                                                                                                                                                            | Proc Natl Acad Sci U S A                        | 2018 | All           
Genomic analysis reveals genes affecting distinct phenotypes among different Chinese and western pig breeds.                                                                                                                                                            | Sci Rep                                         | 2018 | All           
Prioritizing candidate genes post-GWAS using multiple sources of data for mastitis resistance in dairy cattle.                                                                                                                                                          | BMC Genomics                                    | 2018 | All           
Integrative Analyses of Transcriptome Sequencing Identify Functional miRNAs in the Chicken Embryo Fibroblasts Cells Infected With Reticuloendotheliosis Virus.                                                                                                          | Front Genet                                     | 2018 | All           
Novel insights into the host immune response of chicken Harderian gland tissue during Newcastle disease virus infection and heat treatment.                                                                                                                             | BMC Vet Res                                     | 2018 | All           
